ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
3094811,HJ822994,07/01/2003 12:01:00 AM,017XX W 18TH PL,1754,OFFENSE INVOLVING CHILDREN,AGG SEX ASSLT OF CHILD FAM MBR,RESIDENCE,true,false,1223,12,25,31,2,1164977,1891117,2003,04/15/2016 08:55:02 AM,41.856829698,-87.669924751,"(41.856829698, -87.669924751)"
8923285,HV595753,12/09/2012 03:00:00 PM,006XX E 75TH ST,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,false,false,323,3,6,69,3,1181757,1855422,2012,02/04/2016 06:33:39 AM,41.758507448,-87.60943721,"(41.758507448, -87.60943721)"
6211591,HP298043,04/24/2008 11:30:00 AM,090XX S ABERDEEN ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,2222,22,21,73,08B,1170570,1844937,2008,02/04/2016 06:33:39 AM,41.729986193,-87.650741361,"(41.729986193, -87.650741361)"
10289765,HY478019,10/27/2015 02:30:00 AM,069XX S CREGIER AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,false,true,332,3,5,43,26,1189398,1859392,2015,11/03/2015 03:59:23 PM,41.769221613,-87.581306748,"(41.769221613, -87.581306748)"
2489756,HH827097,12/05/2002 05:30:00 PM,026XX N CLARK ST,890,THEFT,FROM BUILDING,DEPARTMENT STORE,false,false,2333,19,43,7,6,1171812,1918179,2002,04/15/2016 08:55:02 AM,41.930941807,-87.6440387,"(41.930941807, -87.6440387)"
3326062,HK364598,05/14/2004 07:15:00 PM,118XX S LA SALLE ST,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,STREET,true,false,522,5,34,53,15,1177388,1826451,2004,04/15/2016 08:55:02 AM,41.679106927,-87.62632107,"(41.679106927, -87.62632107)"
2950883,HJ638047,09/18/2003 05:00:00 AM,025XX N RUTHERFORD AVE,820,THEFT,$500 AND UNDER,STREET,false,false,2512,25,36,18,6,1130989,1916200,2003,04/15/2016 08:55:02 AM,41.926313792,-87.794102584,"(41.926313792, -87.794102584)"
4401175,HL694392,10/24/2005 08:00:00 PM,039XX N SAWYER AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1733,17,33,16,7,1154019,1926050,2005,04/15/2016 08:55:02 AM,41.95291432,-87.709213844,"(41.95291432, -87.709213844)"
8582373,HV256218,04/23/2012 03:00:00 PM,067XX W BERENICE AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,true,true,1632,16,38,17,08B,1130728,1924650,2012,02/04/2016 06:33:39 AM,41.949506079,-87.794866625,"(41.949506079, -87.794866625)"
3916862,HL290249,04/12/2005 12:00:00 PM,030XX S DR MARTIN LUTHER KING JR DR,530,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,"SCHOOL, PUBLIC, BUILDING",true,false,2112,1,2,35,04A,1179306,1885032,2005,04/15/2016 08:55:02 AM,41.839816207,-87.617516172,"(41.839816207, -87.617516172)"
8618477,HV291935,05/18/2012 11:05:00 AM,002XX S WESTERN AVE,460,BATTERY,SIMPLE,SIDEWALK,false,false,1211,12,2,28,08B,1160442,1898890,2012,02/04/2016 06:33:39 AM,41.878254507,-87.68635566,"(41.878254507, -87.68635566)"
2966266,HJ660220,09/24/2003 11:00:00 AM,085XX W RASCHER AVE,890,THEFT,FROM BUILDING,RESIDENCE,false,false,1614,16,41,76,6,1118394,1935084,2003,04/15/2016 08:55:02 AM,41.978341951,-87.839985018,"(41.978341951, -87.839985018)"
1557327,G309737,05/28/2001 10:00:00 PM,003XX W MONTROSE AV,810,THEFT,OVER $500,STREET,false,false,2313,19,,,6,1172929,1929768,2001,08/17/2015 03:03:40 PM,41.962717683,-87.639589293,"(41.962717683, -87.639589293)"
4085362,HL425180,06/16/2005 07:15:21 PM,015XX W HOWARD ST,560,ASSAULT,SIMPLE,RESIDENCE PORCH/HALLWAY,true,false,2422,24,49,1,08A,1164878,1950347,2005,04/15/2016 08:55:02 AM,42.019362081,-87.668602345,"(42.019362081, -87.668602345)"
2123527,HH360323,05/09/2002 03:34:26 PM,016XX N KEATING AVE,460,BATTERY,SIMPLE,STREET,false,false,2533,25,37,25,08B,1144479,1910489,2002,04/15/2016 08:55:02 AM,41.910398731,-87.744676524,"(41.910398731, -87.744676524)"
10541031,HZ286426,05/30/2016 07:30:00 PM,097XX S WOODLAWN AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,511,5,8,50,14,1185921,1840550,2016,06/06/2016 03:50:55 PM,41.71759995,-87.594644494,"(41.71759995, -87.594644494)"
10310557,HY499474,09/29/2015 12:01:00 AM,016XX W 21ST PL,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,false,true,1234,12,25,31,26,1165671,1889803,2015,04/15/2016 03:49:27 PM,41.853209219,-87.667414803,"(41.853209219, -87.667414803)"
7467337,HS269187,04/21/2010 06:15:00 PM,001XX S MASON AVE,560,ASSAULT,SIMPLE,RESIDENTIAL YARD (FRONT/BACK),true,false,1513,15,29,25,08A,1136855,1898800,2010,02/04/2016 06:33:39 AM,41.878462791,-87.772965062,"(41.878462791, -87.772965062)"
